"","ID","name","category","main_category","currency","deadline","goal","launched","pledged","backers","country","usd_pledged_real","usd_goal_real","usd_pledged","status","euros_pledged","euros_goal","proyect_length"
"72831",1370806936,"GAN - Protects both sides","Apps","Technology","NZD",2017-11-03,3e+05,2017-10-05,0,0,"NZ",0,208203.21,0,"0",0,243902.4,29
"74231",1378287783,"Jenny Leigh Records in Nashville!","Music","Music","USD",2013-02-14,8000,2012-12-16,10082.01,94,"US",10082.01,8000,10082.01,"1",8196.756,6504.06,60
"215220",2096595789,"End of Days Brewing","Drinks","Food","USD",2015-01-10,12000,2014-12-11,1,1,"US",1,12000,1,"0",0.8130081,9756.1,30
"51035",1259930302,"Figure Corner (Canceled)","Sculpture","Art","SEK",2014-12-20,50000,2014-10-21,50,1,"SE",6.4,6404.1,6.4,"0",5.203252,40650.41,60
"48415",1246856244,"Hybrid Vigor - A feature film shot on location in Latvia.","Narrative Film","Film & Video","USD",2012-07-26,50000,2012-06-26,57237.3,1013,"US",57237.3,50000,57237.3,"1",46534.39,40650.41,30
"37239",1188947100,"Feudums","Video Games","Games","GBP",2016-05-28,50000,2016-04-28,812,34,"GB",1171.9,72161.53,1171.9,"0",952.7642,40650.41,30
"264131",413392765,"Exploration Unknown - Kilimanjaro","Documentary","Film & Video","USD",2012-05-15,1500,2012-03-16,0,0,"US",0,1500,0,"0",0,1219.51,60
"198691",2011738060,"The Last Four Years","Art Books","Publishing","USD",2012-03-13,950,2012-02-17,951,11,"US",951,950,951,"1",773.1707,772.36,25
"686",1003362537,"Jordon Bould Butcher Blocks","Product Design","Design","USD",2016-02-13,5000,2015-12-30,5850,44,"US",5850,5000,5850,"1",4756.098,4065.04,45
"343908",821826803,"Customize - Phone Cases,Jumpers,T-Shirt, Baby Grows & Puzzle","Apparel","Fashion","GBP",2015-01-08,2000,2014-11-09,1,1,"GB",1.51,3029.39,1.51,"0",1.227642,1626.02,60
"85790",1436206958,"Portas Aurora: Arrival","Video Games","Games","USD",2012-09-29,25000,2012-08-31,868,46,"US",868,25000,868,"0",705.6911,20325.2,29
"69199",1352264357,"Debut album and music video from Forever Town!","Rock","Music","USD",2013-09-11,5000,2013-08-12,300,6,"US",300,5000,300,"0",243.9024,4065.04,30
"338531",794380768,"OH! The things you can see in the dark.","Children's Books","Publishing","USD",2015-08-31,8500,2015-08-01,8631,40,"US",8631,8500,8631,"1",7017.073,6910.57,30
"296850",581216405,"Krazy Cats Playing Cards for cat lovers","Playing Cards","Games","USD",2017-04-02,1200,2017-03-03,369,20,"US",369,1200,369,"0",300,975.61,30
"15767",1079809274,"Online Ocean Exploration","Hardware","Technology","USD",2012-11-07,135000,2012-10-08,37869,95,"US",37869,135000,37869,"0",30787.8,109756.1,30
